,phi,dphi,delta,rhoChi,kh,t,N,a,E,B,G,H,sigmaE,sigmaB,s,xi,xieff
79,15.217211764054126,-0.12825755691655027,0.9823121909055117,0.004909135529243843,41.7679478264508,2.5941549154164996,2.5664601334019768,13.0196549305854,2.561614210330114,3.308136180492415,-1.60779205581714,0.9786543147813246,0.007795337465720841,0.0,0.003982681804996011,-1.638187700439567,-1.638187700439567
80,15.21068763635252,-0.12825739069061454,0.9819226172521595,0.004946281404530877,43.89909067728533,2.6450223425862847,2.6162311194167325,13.684052714993541,2.5720711786902917,3.3096798795753135,-1.6122675558525768,0.9782359306492439,0.007800740930102088,0.0,0.003987147009068061,-1.638886216915632,-1.638886216915632
81,15.203941343371113,-0.12825722018710833,0.9815196612317124,0.004982510714243871,46.21620762832306,2.697622020740751,2.6676746364039916,14.406430024607907,2.582078043706111,3.3111086842452213,-1.6165160440668978,0.9778032999037795,0.00780611735266741,0.0,0.003991660364326633,-1.6396091652550346,-1.6396091652550346
82,15.196362855008338,-0.12825703004308753,0.9810668702794405,0.005020693293874639,48.96402338300751,2.7567102652538864,2.7254369584936926,15.263081803194295,2.592408503746911,3.3125366053885084,-1.6208738764128932,0.9773173022645356,0.007811932717243446,0.0,0.003996620493233091,-1.640422073592476,-1.640422073592476
83,15.188282331343013,-0.1282568286234583,0.980583949490262,0.0050586382886362085,52.07244237568853,2.819712893756892,2.7869941936910876,16.232155684578657,2.602443344128116,3.313881370444916,-1.6250893830703763,0.976799110608642,0.007817907151294944,0.0,0.004001798868563475,-1.6412897394985044,-1.6412897394985044
84,15.181615120015255,-0.12825666326100726,0.9801853981302525,0.005087925550803224,54.783900138826205,2.8716962126978807,2.8377603404659117,17.077474944628392,2.61002275444298,3.3148723855528694,-1.6282698783504475,0.9763715531278759,0.007822685054554954,0.0,0.004005998039114528,-1.642006350580984,-1.642006350580984
85,15.174947917267355,-0.12825649850233567,0.979786768495212,0.0051154973013456985,57.63527767446168,2.9236795316388693,2.8885042614124603,17.966416431651567,2.617019989468884,3.315771124884416,-1.6312107008453955,0.9759439967472936,0.007827344421554307,0.0,0.004010140155399246,-1.64272359543426,-1.64272359543426
86,15.167443652921532,-0.12825631363718173,0.9793380042854088,0.00514460748552388,61.020949385801714,2.9821893915237467,2.945592529412829,19.021930100986257,2.624256040620893,3.316687524055029,-1.6342653185793292,0.9754627616847661,0.007832465996829366,0.0,0.00401474372189337,-1.6435316481951658,-1.6435316481951658
87,15.159334515984543,-0.12825611440588083,0.9788529724158394,0.0051739354755489225,64.9014145220983,3.0454154659981008,3.007250771093518,20.23170181743483,2.6313822613375284,3.317581383675665,-1.6372981588168143,0.9749427380022194,0.007837875521203255,0.0,0.004019659419826056,-1.6444057354164947,-1.6444057354164947
88,15.152613882806705,-0.1282559496060607,0.978450921357845,0.005196690007383885,68.30209528315214,3.097815599339172,3.058326608830556,21.291897660674742,2.6367936803001752,3.3182579200261055,-1.639626473245934,0.9745117570625922,0.007842275236218485,0.0,0.004023694521581221,-1.6451308652326364,-1.6451308652326364
